EventType,Value,FrameNum
frame_time_ms,13.114988,212
frame_time_ms,13.418018,213
frame_time_ms,13.255000,214
frame_time_ms,13.298988,215
frame_time_ms,13.052999,216
frame_time_ms,13.953983,217
frame_time_ms,13.243019,218
frame_time_ms,13.696968,219
frame_time_ms,13.043046,220
frame_time_ms,13.231993,221
frame_time_ms,13.051033,222
frame_time_ms,14.101982,223
frame_time_ms,13.775945,224
frame_time_ms,13.218999,225
frame_time_ms,13.035000,226
frame_time_ms,13.004005,227
frame_time_ms,12.948990,228
frame_time_ms,13.414025,229
frame_time_ms,13.630986,230
frame_time_ms,13.001978,231
frame_time_ms,13.417006,232
frame_time_ms,12.979031,233
frame_time_ms,13.576031,234
frame_time_ms,13.428986,235
frame_time_ms,12.740016,236
frame_time_ms,12.769043,237
frame_time_ms,13.414025,238
frame_time_ms,13.204039,239
frame_time_ms,12.696028,240
frame_time_ms,13.105989,241
frame_time_ms,12.898027,242
frame_time_ms,12.782991,243
frame_time_ms,13.394952,244
frame_time_ms,12.925029,245
frame_time_ms,12.997985,246
frame_time_ms,12.972951,247
frame_time_ms,13.487041,248
frame_time_ms,12.713015,249
frame_time_ms,12.857019,250
frame_time_ms,13.444006,251
frame_time_ms,12.508988,252
frame_time_ms,12.694001,253
frame_time_ms,13.089954,254
frame_time_ms,12.625992,255
frame_time_ms,12.914001,256
frame_time_ms,12.973965,257
frame_time_ms,12.836992,258
frame_time_ms,12.924015,259
frame_time_ms,12.573004,260
frame_time_ms,13.127983,261
frame_time_ms,12.686968,262
frame_time_ms,13.072968,263
frame_time_ms,12.538015,264
frame_time_ms,12.641012,265
frame_time_ms,12.813032,266
frame_time_ms,12.790024,267
frame_time_ms,12.892008,268
frame_time_ms,12.821018,269
frame_time_ms,13.423979,270
frame_time_ms,12.731970,271
frame_time_ms,15.266001,272
frame_time_ms,13.033032,273
frame_time_ms,12.588024,274
frame_time_ms,12.867033,275
frame_time_ms,12.535990,276
frame_time_ms,13.455033,277
frame_time_ms,13.055027,278
frame_time_ms,12.186945,279
frame_time_ms,12.470007,280
frame_time_ms,13.094961,281
frame_time_ms,12.417019,282
frame_time_ms,12.607992,283
frame_time_ms,12.509048,284
frame_time_ms,13.224006,285
frame_time_ms,13.558984,286
frame_time_ms,13.130009,287
frame_time_ms,12.867033,288
frame_time_ms,12.897015,289
frame_time_ms,13.207018,290
frame_time_ms,12.769997,291
frame_time_ms,12.808979,292
frame_time_ms,12.888014,293
frame_time_ms,13.152003,294
frame_time_ms,12.971044,295
frame_time_ms,12.674034,296
frame_time_ms,12.684048,297
frame_time_ms,12.663007,298
frame_time_ms,12.757004,299
frame_time_ms,12.944042,300
frame_time_ms,12.781978,301
frame_time_ms,13.350964,302
frame_time_ms,12.762011,303
frame_time_ms,12.832046,304
frame_time_ms,13.158978,305
frame_time_ms,12.879968,306
frame_time_ms,13.069987,307
frame_time_ms,12.813032,308
frame_time_ms,12.683988,309
frame_time_ms,13.142050,310
frame_time_ms,12.821018,311
frame_time_ms,12.939035,312
frame_time_ms,12.851000,313
frame_time_ms,12.709975,314
frame_time_ms,13.377964,315
frame_time_ms,12.858033,316
frame_time_ms,12.811005,317
frame_time_ms,13.426006,318
frame_time_ms,13.324022,319
frame_time_ms,13.066948,320
frame_time_ms,12.881041,321
frame_time_ms,12.861013,322
frame_time_ms,12.669027,323
frame_time_ms,14.355003,324
frame_time_ms,12.989998,325
frame_time_ms,12.744963,326
frame_time_ms,12.603998,327
frame_time_ms,12.802005,328
frame_time_ms,12.674034,329
frame_time_ms,13.212978,330
frame_time_ms,12.722015,331
frame_time_ms,12.883007,332
frame_time_ms,12.550950,333
frame_time_ms,13.181984,334
frame_time_ms,12.881994,335
frame_time_ms,12.529969,336
frame_time_ms,12.492001,337
frame_time_ms,12.428999,338
frame_time_ms,12.766004,339
frame_time_ms,12.162983,340
frame_time_ms,12.508988,341
frame_time_ms,12.608051,342
frame_time_ms,12.467980,343
frame_time_ms,12.861013,344
frame_time_ms,12.257994,345
frame_time_ms,12.623013,346
frame_time_ms,12.279034,347
frame_time_ms,12.645006,348
frame_time_ms,12.381018,349
frame_time_ms,12.961984,350
frame_time_ms,12.457013,351
frame_time_ms,12.404978,352
frame_time_ms,12.883007,353
frame_time_ms,12.371004,354
frame_time_ms,12.353956,355
frame_time_ms,12.425005,356
frame_time_ms,12.887001,357
frame_time_ms,12.263000,358
frame_time_ms,12.539983,359
frame_time_ms,12.685001,360
frame_time_ms,12.707054,361
frame_time_ms,12.377977,362
frame_time_ms,12.430965,363
frame_time_ms,12.439013,364
frame_time_ms,12.269974,365
frame_time_ms,13.216019,366
frame_time_ms,12.493968,367
frame_time_ms,12.130022,368
frame_time_ms,12.624979,369
frame_time_ms,12.733995,370
frame_time_ms,12.594997,371
frame_time_ms,12.215972,372
frame_time_ms,12.428045,373
frame_time_ms,12.363016,374
frame_time_ms,12.768984,375
frame_time_ms,12.386024,376
frame_time_ms,12.441993,377
frame_time_ms,12.129009,378
frame_time_ms,13.137997,379
frame_time_ms,12.162029,380
frame_time_ms,12.642980,381
frame_time_ms,13.136029,382
frame_time_ms,12.516022,383
frame_time_ms,12.241006,384
frame_time_ms,12.414991,385
frame_time_ms,12.232960,386
frame_time_ms,12.552023,387
frame_time_ms,12.515009,388
frame_time_ms,12.525976,389
frame_time_ms,12.445986,390
frame_time_ms,12.742996,391
frame_time_ms,12.605011,392
frame_time_ms,12.592972,393
frame_time_ms,12.534022,394
frame_time_ms,12.361050,395
frame_time_ms,12.156010,396
frame_time_ms,12.616038,397
frame_time_ms,12.912989,398
frame_time_ms,12.400985,399
frame_time_ms,12.196005,400
frame_time_ms,12.799978,401
frame_time_ms,12.435019,402
frame_time_ms,12.373983,403
frame_time_ms,12.314976,404
frame_time_ms,12.444019,405
frame_time_ms,12.447000,406
frame_time_ms,12.421012,407
frame_time_ms,12.165010,408
frame_time_ms,12.639999,409
frame_time_ms,12.759983,410
frame_time_ms,14.276981,411
frame_time_ms,12.719989,412
frame_time_ms,12.103975,413
frame_time_ms,13.494015,414
frame_time_ms,12.677013,415
frame_time_ms,12.283981,416
frame_time_ms,12.803019,417
frame_time_ms,31.036018,418
frame_time_ms,13.247013,419
frame_time_ms,13.478994,420
frame_time_ms,12.557983,421
frame_time_ms,12.483954,422
frame_time_ms,12.896002,423
frame_time_ms,15.838981,424
frame_time_ms,14.288961,425
frame_time_ms,13.083994,426
frame_time_ms,13.098001,427
frame_time_ms,14.039993,428
frame_time_ms,12.480974,429
frame_time_ms,12.692987,430
frame_time_ms,15.040040,431
frame_time_ms,18.492996,432
frame_time_ms,15.459002,433
frame_time_ms,12.998999,434
frame_time_ms,12.745976,435
frame_time_ms,12.153029,436
frame_time_ms,13.847947,437
frame_time_ms,14.694988,438
frame_time_ms,13.837994,439
frame_time_ms,16.165018,440
frame_time_ms,16.196966,441
frame_time_ms,17.177999,442
frame_time_ms,15.857994,443
frame_time_ms,15.976011,444
frame_time_ms,17.397999,445
frame_time_ms,15.667021,446
frame_time_ms,16.312004,447
frame_time_ms,12.847006,448
frame_time_ms,12.695015,449
frame_time_ms,12.743950,450
frame_time_ms,12.582005,451
frame_time_ms,15.586972,452
frame_time_ms,15.201986,453
frame_time_ms,16.012966,454
frame_time_ms,16.812027,455
frame_time_ms,16.337990,456
frame_time_ms,15.968025,457
frame_time_ms,16.807020,458
frame_time_ms,15.495003,459
frame_time_ms,17.262995,460
frame_time_ms,16.018986,461
frame_time_ms,16.036987,462
frame_time_ms,12.661993,463
frame_time_ms,12.643993,464
frame_time_ms,12.501001,465
frame_time_ms,12.256980,466
frame_time_ms,15.985012,467
frame_time_ms,11.938990,468
frame_time_ms,12.367010,469
frame_time_ms,17.686008,470
frame_time_ms,11.880994,471
frame_time_ms,12.158990,472
frame_time_ms,14.338017,473
frame_time_ms,16.267002,474
frame_time_ms,12.494982,475
frame_time_ms,12.116014,476
frame_time_ms,12.531996,477
frame_time_ms,12.778044,478
frame_time_ms,12.425005,479
frame_time_ms,12.346983,480
frame_time_ms,12.147009,481
frame_time_ms,12.157976,482
